16,1,1,26.8,22.3,31.4,1624,30.5044286639,-91.1609191422,1
16,1,1,22.8,18.8,26.9,6750,30.4983580696,-91.1377231863,1
16,1,1,24.8,21.2,28.5,1795,30.4941288729,-91.1622694874,1
16,1,1,24.3,20.3,28.5,3082,30.4926899201,-91.1485707012,1
16,1,1,25.2,21.2,29.4,4152,30.4791562031,-91.1627032456,1
16,1,1,22,17.7,26.4,3645,30.4830308547,-91.1486504051,1
16,1,1,21.6,19,24.9,4275,30.4720369968,-91.1481525059,1
16,1,1,24.4,21.1,28.3,2433,30.4835066545,-91.1291744167,1
16,1,1,19.3,15.8,22.8,3594,30.4750302022,-91.1259312328,1
16,1,1,21.7,17.4,26.1,4239,30.4618764248,-91.1613366254,1
16,1,1,23.7,19.8,28,3527,30.459554079,-91.1472842753,1
16,1,1,19.8,15.8,24,3388,30.4614349651,-91.1089635983,1
16,1,1,21.5,17.5,26,3281,30.4605974784,-91.1338196562,1
16,1,1,28.3,23.7,33,4430,30.4601768763,-91.1216822878,1
16,1,1,11.6,9.7,13.9,3515,30.4457793754,-91.1606773841,1
16,1,1,10.7,8.8,12.8,5132,30.4423213017,-91.1456955324,1
16,1,1,15.9,13.3,18.5,2555,30.4481367185,-91.1253953588,1
16,1,1,6.6,5.3,8.3,2523,30.4399824107,-91.1244270502,1
16,1,1,8.4,6.8,10.2,3435,30.4406219886,-91.0989149061,1
16,1,1,20.2,16.9,23.6,1446,30.4357913592,-91.1740082449,1
16,1,1,6.1,5.2,7.2,2776,30.4328767007,-91.1590489449,1
16,1,1,20.8,18.3,23.2,2682,30.4257452809,-91.1904945019,1
16,1,1,17.5,15,20.8,3504,30.4258203583,-91.1745595599,1
16,1,1,7.8,6.1,9.8,3822,30.4167619854,-91.1565343842,1
16,1,1,9.1,7.4,11.2,3916,30.4026538632,-91.1308382679,1
16,1,1,16.3,13.3,19.1,1621,30.4258843987,-91.144983792,1
16,1,1,17,14,20.6,3471,30.4128712457,-91.1898838389,1
16,1,1,15,12.1,17.7,4111,30.4122648285,-91.1708265512,1
16,1,1,21.1,15.7,27.9,4755,30.5289405596,-91.1959042173,1
16,1,1,20.2,16,24.8,4109,30.5334044379,-91.1784614006,1
16,1,1,29.5,23.6,35.4,3278,30.5342831115,-91.1599182379,1
16,1,1,17.6,13.2,22.6,120,30.5297112101,-91.1415566967,1
16,1,1,18,14.6,22,5161,30.5158758542,-91.163876673,1
16,1,1,20.3,17.3,23.6,5165,30.5141605669,-91.1363751289,1
16,1,1,19.8,17,22.7,1122,30.4841433307,-91.1112740183,1
16,1,1,14.9,12.5,17.7,6857,30.4796482296,-91.0799015972,1
16,1,1,14.5,11,18.6,142,30.4772361461,-91.0531832205,1
16,1,1,14.9,12.7,17.2,3483,30.4639470932,-91.0876029097,1
16,1,1,24.8,21.6,28.3,2967,30.4647752964,-91.0649409557,1
16,1,1,23.4,20.3,27,6435,30.4668975587,-91.0469530429,1
16,1,1,10.8,9.1,12.5,5966,30.4445084666,-91.0787184596,1
